City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Davila,PH,82.08,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
11,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
13,Lar,IN,89.76,few clouds,26.2039,83.9717,Ovaiskarni ward Lar
16,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
17,Porto De Moz,BR,81.12,overcast clouds,-1.7483,-52.2383,Dormitório labelle
24,Rikitea,PF,77.54,broken clouds,-23.1203,-134.9692,People ThankYou
28,Hilo,US,76.24,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
36,Omboue,GA,76.91,overcast clouds,-1.5746,9.2618,Hotel Olako
37,Belmonte,BR,80.56,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
38,Kumo,NG,87.58,light rain,10.0447,11.2122,Ajegunle Lodge(corpers Lodge)
42,Hithadhoo,MV,84.11,few clouds,-0.6,73.0833,Scoop Guest House
45,Hobyo,SO,83.23,clear sky,5.3505,48.5268,Iftin hotel hobyo
52,Eyl,SO,83.5,scattered clouds,7.9803,49.8164,Amiin Hotel
53,Doba,TD,86.22,overcast clouds,8.65,16.85,Restaurant Auberge La Pétrolière
56,Kapaa,US,80.58,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
57,Katobu,ID,76.41,overcast clouds,-4.9408,122.5276,La Ode Husein
61,Atuona,PF,78.6,scattered clouds,-9.8,-139.0333,Villa Enata
63,Piacabucu,BR,80.82,light rain,-10.4056,-36.4344,Piaçabuçu News
64,Najran,SA,83.05,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
71,Witu,KE,82.56,broken clouds,-2.3889,40.4382,
73,Loveland,US,88.9,clear sky,40.3978,-105.075,La Quinta Inn & Suites by Wyndham Loveland
76,Sambava,MG,76.19,light rain,-14.2667,50.1667,Melrose
82,Hazaribag,IN,80.15,clear sky,23.9833,85.35,Capital O 46318 Sri Vinayak Deluxe
85,Cabo San Lucas,MX,88.9,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
87,Cayenne,GF,83.08,light rain,4.9333,-52.3333,Hôtel Le Dronmi
88,Cairns,AU,76.95,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
89,Isangel,VU,75.13,few clouds,-19.55,169.2667,Tanna Lodge
91,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
97,Carutapera,BR,79.25,overcast clouds,-1.195,-46.02,Lidera
102,Dedougou,BF,85.84,light rain,12.4667,-3.4667,Hôtel Bon Séjour
104,Kavaratti,IN,84.76,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
105,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
107,Karratha,AU,75.56,broken clouds,-20.7377,116.8463,ibis Styles Karratha
109,Padang,ID,77.34,light rain,-0.9492,100.3543,Mercure Padang
111,Mount Abu,IN,75.56,clear sky,24.6,72.7,Hotel Oasis
112,Mahinog,PH,80.56,overcast clouds,9.1578,124.7875,Algen's Dive Resort
115,Rock Sound,BS,79.61,scattered clouds,24.9,-76.2,Pink Corral Bay Property
120,Port-Gentil,GA,78.76,few clouds,-0.7193,8.7815,Fengshui Residence
122,Mahebourg,MU,77.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
124,Saint George,US,88.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
128,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
133,Ugoofaaru,MV,85.28,overcast clouds,5.6667,73.0,Ungoofaaru Inn
134,Wajir,KE,82.99,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
147,Miri,MY,78.94,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
151,Butaritari,KI,81.25,light rain,3.0707,172.7902,Isles Sunset Lodge
155,Bambous Virieux,MU,77.22,light rain,-20.3428,57.7575,Casa Tia Villa
157,Nueva Loja,EC,86.02,broken clouds,0.0847,-76.8828,Limoncocha Great Hotel
158,Sola,VU,81.48,clear sky,-13.8833,167.55,Leumerus Bungalows
161,Muborak,UZ,83.01,clear sky,39.2553,65.1528,Muborak temiryoʻl vakzali
164,The Valley,AI,84.06,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
165,Port Moresby,PG,76.53,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
166,Las Guacamayas,MX,85.86,overcast clouds,18.0167,-102.2167,DIDPROQUIM
174,Chiang Rai,TH,77.13,scattered clouds,19.9167,99.9167,Imsuk Homestay at Chiang Rai
178,Bengkulu,ID,76.08,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
179,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
180,Lazaro Cardenas,MX,84.11,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
183,Victoria,HK,77.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
185,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
194,Dingle,PH,78.71,clear sky,10.9995,122.6711,SEGAYA PROPERTY
198,Birao,CF,88.75,overcast clouds,10.2849,22.7882,
200,Ndele,CF,79.0,broken clouds,8.4109,20.6473,
