City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,53.26,47,20,17.27,few clouds
1,Airai,TL,-8.9266,125.4092,60.69,96,58,4.5,broken clouds
2,Barrow,US,71.2906,-156.7887,21.22,93,100,10.36,overcast clouds
3,Albany,US,42.6001,-73.9662,60.46,34,100,3.0,overcast clouds
4,Aklavik,CA,68.2191,-135.0107,39.2,56,20,9.22,few clouds
5,Davila,PH,18.4726,120.5763,82.08,77,99,5.75,overcast clouds
6,Yueyang,CN,29.3333,113.0919,70.11,83,88,1.23,overcast clouds
7,Bethel,US,41.3712,-73.414,54.36,57,75,14.97,broken clouds
8,Nikolskoye,RU,59.7035,30.7861,52.72,86,99,3.13,overcast clouds
9,Lakselv,NO,70.0513,24.9718,37.22,65,40,10.36,scattered clouds
10,Lichuan,CN,30.3,108.85,57.38,94,83,4.94,broken clouds
11,Puerto Ayora,EC,-0.7393,-90.3518,80.56,80,45,10.11,scattered clouds
12,Kodiak,US,57.79,-152.4072,53.11,43,0,10.36,clear sky
13,Lar,IN,26.2039,83.9717,89.76,34,12,5.79,few clouds
14,Carnarvon,AU,-24.8667,113.6333,66.27,77,75,5.75,broken clouds
15,Gravdal,NO,68.1214,13.5031,36.55,60,100,25.72,light rain
16,Avarua,CK,-21.2078,-159.775,82.45,78,40,4.61,scattered clouds
17,Porto De Moz,BR,-1.7483,-52.2383,81.12,91,100,1.81,overcast clouds
18,Qarayeri,AZ,40.7886,46.3066,58.08,82,75,11.5,broken clouds
19,Alice Springs,AU,-23.7,133.8833,35.15,69,0,0.0,clear sky
20,Kirkwall,GB,58.9848,-2.9587,48.25,66,40,2.3,scattered clouds
21,Hermanus,ZA,-34.4187,19.2345,55.8,79,15,7.31,few clouds
22,Tasiilaq,GL,65.6145,-37.6368,32.16,67,94,5.82,overcast clouds
23,Hobart,AU,-42.8794,147.3294,53.46,77,100,12.66,overcast clouds
24,Rikitea,PF,-23.1203,-134.9692,77.54,83,75,12.08,broken clouds
25,Mataura,NZ,-46.1927,168.8643,57.47,98,100,2.15,overcast clouds
26,Dikson,RU,73.5069,80.5464,8.08,96,100,8.08,overcast clouds
27,Antofagasta,CL,-23.65,-70.4,63.68,74,51,8.05,broken clouds
28,Hilo,US,19.7297,-155.09,76.24,82,20,3.0,few clouds
29,Vaini,TO,-21.2,-175.2,73.56,88,75,10.36,broken clouds
30,Prince Albert,CA,53.2001,-105.7677,53.55,47,100,3.44,light rain
31,East London,ZA,-33.0153,27.9116,65.03,91,100,15.93,moderate rain
32,Broome,US,42.2506,-75.833,58.17,39,0,12.66,clear sky
33,Mendi,PG,-6.1761,143.6513,56.86,97,99,3.04,overcast clouds
34,Rio Gallegos,AR,-51.6226,-69.2181,59.05,36,0,26.46,clear sky
35,Norman Wells,CA,65.282,-126.8329,41.04,60,75,4.61,shower rain
36,Omboue,GA,-1.5746,9.2618,76.91,88,100,3.56,overcast clouds
37,Belmonte,BR,-15.8631,-38.8828,80.56,69,100,8.59,overcast clouds
38,Kumo,NG,10.0447,11.2122,87.58,46,100,18.34,light rain
39,Dunedin,NZ,-45.8742,170.5036,61.81,57,100,3.0,overcast clouds
