City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Thompson,CA,2022-05-05 01:44:16,55.7435,-97.8558,30.36,74,100,3.44
1,Punta Umbria,ES,2022-05-05 01:51:52,37.1821,-6.9661,58.23,72,0,7.94
2,Ewa Beach,US,2022-05-05 01:51:53,21.3156,-158.0072,84.15,54,75,20.71
3,Mar Del Plata,AR,2022-05-05 01:50:53,-38.0023,-57.5575,55.94,73,0,14.0
4,Carnarvon,AU,2022-05-05 01:51:54,-24.8667,113.6333,77.07,36,75,19.57
5,Coquimbo,CL,2022-05-05 01:51:54,-29.9533,-71.3436,55.13,94,0,4.61
6,Mataura,NZ,2022-05-05 01:51:55,-46.1927,168.8643,62.47,53,53,2.86
7,Griffith,US,2022-05-05 01:51:55,41.5284,-87.4237,50.11,86,0,6.91
8,Hilo,US,2022-05-05 01:44:41,19.7297,-155.09,78.28,96,100,10.36
9,Sao Gabriel Da Cachoeira,BR,2022-05-05 01:51:56,-0.1303,-67.0892,74.08,94,83,4.27
10,Sisimiut,GL,2022-05-05 01:51:56,66.9395,-53.6735,15.08,86,10,6.17
11,Port Hardy,CA,2022-05-05 01:45:21,50.6996,-127.4199,46.58,87,100,5.75
12,Ojinaga,MX,2022-05-05 01:51:57,29.5667,-104.4167,88.75,14,0,3.44
13,Zhigansk,RU,2022-05-05 01:45:18,66.7697,123.3711,24.94,78,19,10.56
14,Kodiak,US,2022-05-05 01:51:16,57.79,-152.4072,44.11,81,100,5.75
15,East London,ZA,2022-05-05 01:51:58,-33.0153,27.9116,64.11,80,17,4.03
16,Cape Town,ZA,2022-05-05 01:44:42,-33.9258,18.4232,59.11,90,100,2.3
17,Kruisfontein,ZA,2022-05-05 01:45:24,-34.0033,24.7314,58.89,89,89,4.85
18,Sawtell,AU,2022-05-05 01:51:59,-30.3833,153.1,71.62,78,100,5.75
19,Okhotsk,RU,2022-05-05 01:52:00,59.3833,143.3,32.97,89,100,13.42
20,Lebu,CL,2022-05-05 01:44:42,-37.6167,-73.65,53.87,96,50,9.93
21,Qaanaaq,GL,2022-05-05 01:52:00,77.484,-69.3632,17.74,91,100,3.53
22,Punta Arenas,CL,2022-05-05 01:42:24,-53.15,-70.9167,42.91,81,75,16.11
23,Khatanga,RU,2022-05-05 01:45:02,71.9667,102.5,19.87,86,53,10.25
24,Omboue,GA,2022-05-05 01:52:01,-1.5746,9.2618,74.44,93,100,10.96
25,Tasiilaq,GL,2022-05-05 01:50:41,65.6145,-37.6368,14.07,81,70,5.06
26,Albany,US,2022-05-05 01:44:45,42.6001,-73.9662,54.64,92,98,4.52
27,Dubuque,US,2022-05-05 01:52:02,42.4833,-90.8668,55.99,62,0,6.91
28,Kodinsk,RU,2022-05-05 01:52:03,58.6881,99.1844,41.77,58,14,5.03
29,Acarau,BR,2022-05-05 01:52:03,-2.8856,-40.12,77.77,86,100,10.4
30,Vanimo,PG,2022-05-05 01:44:53,-2.6741,141.3028,87.08,66,88,4.79
31,Ushuaia,AR,2022-05-05 01:45:00,-54.8,-68.3,38.86,75,0,9.22
32,Sao Jose De Piranhas,BR,2022-05-05 01:52:04,-7.1206,-38.5019,71.65,77,79,3.18
33,Mount Gambier,AU,2022-05-05 01:49:43,-37.8333,140.7667,48.11,87,75,11.5
34,Rikitea,PF,2022-05-05 01:47:26,-23.1203,-134.9692,77.63,84,71,19.95
35,Castro,BR,2022-05-05 01:45:09,-24.7911,-50.0119,48.7,96,1,5.46
36,Bredasdorp,ZA,2022-05-05 01:45:34,-34.5322,20.0403,58.14,92,100,3.53
37,High Level,CA,2022-05-05 01:52:05,58.5169,-117.136,55.51,47,75,11.5
38,Butaritari,KI,2022-05-05 01:44:35,3.0707,172.7902,81.36,77,28,13.02
39,Saint-Philippe,RE,2022-05-05 01:51:21,-21.3585,55.7679,74.79,86,41,14.32
40,Jamestown,US,2022-05-05 01:44:47,42.097,-79.2353,52.02,93,100,4.61
41,Lima,PE,2022-05-05 01:52:06,-12.0432,-77.0282,67.89,77,40,10.36
42,Vaini,TO,2022-05-05 01:44:55,-21.2,-175.2,80.76,74,40,6.91
43,Ukiah,US,2022-05-05 01:47:09,39.1502,-123.2078,82.29,34,0,9.22
44,Manokwari,ID,2022-05-05 01:45:13,-0.8667,134.0833,83.82,71,80,3.96
45,Vizinga,RU,2022-05-05 01:52:07,61.0749,50.1031,28.74,75,12,6.38
46,Esperance,AU,2022-05-05 01:52:08,-33.8667,121.9,58.84,61,94,11.9
47,Creel,MX,2022-05-05 01:52:08,27.75,-107.6333,52.03,20,69,7.65
48,Port Alfred,ZA,2022-05-05 01:44:44,-33.5906,26.891,64.6,83,93,5.19
49,Torbay,CA,2022-05-05 01:52:09,47.6666,-52.7314,40.75,91,100,8.05
50,Nago,JP,2022-05-05 01:52:10,26.5881,127.9761,73.83,93,100,10.71
51,Kaya,BF,2022-05-05 01:52:10,13.0917,-1.0844,88.25,12,25,3.87
52,Najran,SA,2022-05-05 01:52:11,17.4924,44.1277,74.05,26,0,0.78
53,Yellowknife,CA,2022-05-05 01:44:41,62.456,-114.3525,37.92,100,100,6.91
54,Kupang,ID,2022-05-05 01:45:19,-10.1667,123.5833,84.96,71,86,8.86
55,Provideniya,RU,2022-05-05 01:50:44,64.3833,-173.3,30.36,80,40,8.99
56,Puerto Ayora,EC,2022-05-05 01:44:50,-0.7393,-90.3518,73.27,91,46,4.74
57,Codrington,AU,2022-05-05 01:52:12,-38.2667,141.9667,54.77,59,92,7.92
58,Launceston,AU,2022-05-05 01:52:13,-41.45,147.1667,59.14,64,95,14.97
59,Nikolskoye,RU,2022-05-05 01:52:14,59.7035,30.7861,37.8,64,94,6.87
60,Chuy,UY,2022-05-05 01:52:14,-33.6971,-53.4616,56.01,82,0,3.71
61,Hamilton,US,2022-05-05 01:47:25,39.1834,-84.5333,58.05,83,100,9.22
